"Date","Sales Count","Subtotal","Discounts","Total","Cost","Profit","Margin"
"2018-10-31 00:00","10","$760.21","$6.00","$857.00","$324.13","$436.08","57.36%"
"2018-11-01 00:00","15","$2,191.55","$129.00","$2,482.00","$1,306.38","$885.17","40.39%"
"2018-11-02 00:00","10","$3,192.64","$0.00","$3,601.00","$1,570.39","$1,622.25","50.81%"
"2018-11-03 00:00","7","$880.34","$62.10","$1,012.40","$555.72","$324.62","36.87%"
"2018-11-04 00:00","2","$172.60","$7.51","$198.49","$169.00","$3.60","2.09%"
"2018-11-05 00:00","7","$400.88","$0.00","$455.00","$223.25","$177.63","44.31%"
"2018-11-06 00:00","6","$1,180.02","$0.00","$1,327.00","$577.82","$602.20","51.03%"
"2018-11-07 00:00","12","$1,120.69","$0.00","$1,249.00","$480.87","$639.82","57.09%"
"2018-11-08 00:00","9","$804.35","$0.00","$907.00","$479.09","$325.26","40.44%"
"2018-11-09 00:00","10","$12,706.55","$0.00","$14,584.00","$9,377.27","$3,329.28","26.2%"
"2018-11-10 00:00","10","$1,166.74","$6.25","$1,281.75","$491.07","$675.67","57.91%"
"2018-11-12 00:00","4","$490.21","$64.25","$563.75","$309.35","$180.86","36.89%"
"2018-11-13 00:00","8","$2,345.83","$38.80","$2,693.20","$2,007.73","$338.10","14.41%"
"2018-11-14 00:00","15","$1,463.43","$0.00","$1,609.44","$805.38","$658.05","44.97%"
"2018-11-15 00:00","17","$13,633.51","$0.00","$15,629.00","$9,597.89","$4,035.62","29.6%"
"2018-11-16 00:00","13","$1,461.97","$34.00","$1,620.50","$690.99","$770.98","52.74%"
"2018-11-17 00:00","12","$1,689.30","$158.10","$1,920.90","$1,281.57","$407.73","21.52%"
"2018-11-19 00:00","1","$0.00","$0.00","$0.00","$150.00","$-150.00","0%"
"2018-11-20 00:00","21","$3,001.31","$105.50","$3,382.50","$1,553.27","$1,448.04","48.25%"
"2018-11-21 00:00","16","$3,526.76","$12.50","$4,019.00","$2,151.39","$1,375.37","39%"
"2018-11-22 00:00","20","$11,947.74","$151.00","$13,718.10","$9,376.31","$2,571.43","21.29%"
"2018-11-23 00:00","35","$3,662.89","$19.70","$4,062.30","$1,653.94","$2,008.95","54.85%"
"2018-11-24 00:00","2","$132.17","$15.00","$140.00","$29.55","$102.62","77.64%"
"2018-11-26 00:00","8","$6,932.92","$0.00","$7,948.80","$4,816.76","$2,116.16","30.52%"
"2018-11-27 00:00","10","$3,023.27","$21.50","$3,465.50","$2,510.60","$512.67","16.96%"
"2018-11-28 00:00","20","$8,319.36","$26.50","$9,539.50","$5,435.28","$2,884.08","34.67%"
"2018-11-29 00:00","30","$4,507.80","$148.05","$5,153.95","$3,840.68","$667.12","14.57%"
"2018-11-30 00:00","12","$704.51","$22.25","$758.45","$284.57","$419.94","59.61%"
"2018-12-01 00:00","7","$529.56","$0.00","$609.00","$253.15","$276.41","52.2%"
